url;Publishing Date;Title / Article;Author
https://thecorrespondent.com/128/lets-remember-the-day-play-went-from-being-a-privilege-to-a-right/16944833664-c43608cd;2019-11-20T11:07:19+00:00;Let’s remember the day play went from being a privilege to a right;Irene Caselli
https://thecorrespondent.com/129/where-are-all-the-non-white-non-fiction-women-writers/138250357542-eea10cdd;2019-11-20T16:00:03+00:00;Where are all the non-white non-fiction women writers?;Nesrine Malik
https://thecorrespondent.com/130/the-time-has-come-to-take-the-self-out-of-self-care/17209929880-6c701074;2019-11-21T11:00:02+00:00;The time has come to take the self out of self-care;Tanmoy Goswami
https://thecorrespondent.com/131/on-doing-enough/17342649709-79261eb7;2019-11-21T16:00:02+00:00;On doing enough;Eric Holthaus
https://thecorrespondent.com/132/these-invisible-lines/17474021400-4a1244b8;2019-11-22T16:00:03+00:00;These invisible lines;OluTimehin Adegbeye
https://thecorrespondent.com/133/why-the-name-of-your-street-is-a-sign-of-the-times-and-what-to-do-about-it/144873575000-a27bcf63;2019-11-22T11:02:01+00:00;Why the name of your street is a sign of the times – and what to do about it;Elliot Ross
https://thecorrespondent.com/134/bookmark-this-the-uplifting-power-of-creativity-and-five-other-stories-for-the-weekend/1099014400-25bab7ee;2019-11-22T22:55:02+00:00;Bookmark this! The uplifting power of creativity – and five other stories for the weekend;Eliza Anyangwe
https://thecorrespondent.com/135/a-fine-week-for-mental-health-hint/17871850260-225ea4f3;2019-11-25T16:00:03+00:00;A fine week for mental health! (Hint: $$$);Tanmoy Goswami
https://thecorrespondent.com/136/want-to-make-sense-of-migration-ask-the-people-who-stayed-behind/17985760232-237b9ebe;2019-11-25T11:00:02+00:00;Want to make sense of migration? Ask the people who stayed behind;Maite Vermeulen
https://thecorrespondent.com/137/in-thanksgiving/18136969543-1ef254e2;2019-11-28T16:00:03+00:00;In Thanksgiving;Eric Holthaus
https://thecorrespondent.com/139/why-im-wasting-my-time-writing-about-children/18401030307-466f5f50;2019-11-26T16:00:02+00:00;"Why I’m ""wasting my time"" writing about children";Irene Caselli
https://thecorrespondent.com/140/the-case-against-civility-who-is-your-niceness-really-helping/1148224000-8f2727a7;2019-11-26T11:07:48+00:00;The case against civility: who is your niceness really helping?;Eliza Anyangwe
https://thecorrespondent.com/141/factchecking-politicians-the-good-the-bad-and-the-funny/151110855918-75bc0d32;2019-12-04T16:00:03+00:00;Factchecking politicians: the good, the bad, and the funny;Nesrine Malik
https://thecorrespondent.com/142/how-governments-use-the-internet-to-crush-online-dissent/18607103196-db0c0dab;2019-11-27T11:00:02+00:00;How governments use the internet to crush online dissent;Morgan Meaker
https://thecorrespondent.com/143/when-good-reporting-wont-put-bad-things-right/135562149866-cb014a64;2019-11-28T11:00:02+00:00;When good reporting won’t put bad things right;Joris Luyendijk
https://thecorrespondent.com/144/the-documentary-ihuman-adds-on-to-the-ai-hype/19045591488-954bde11;2019-11-28T15:00:03+00:00;The documentary iHuman adds on to the AI hype;Sanne Blauw
https://thecorrespondent.com/146/the-learning-curve/19327326700-a673afa6;2019-11-29T16:00:03+00:00;The learning curve;OluTimehin Adegbeye
https://thecorrespondent.com/147/borders-dont-just-keep-people-out-they-define-their-worth/19459705650-bbf0f324;2019-12-02T11:00:04+00:00;Borders don’t just keep people out. They define their worth;OluTimehin Adegbeye
https://thecorrespondent.com/148/do-you-grieve-on-twitter-and-insta/19592843248-383767a2;2019-12-02T16:00:03+00:00;Do you grieve on Twitter and Insta?;Tanmoy Goswami
https://thecorrespondent.com/149/bookmark-this-the-untold-story-of-a-life-not-lived-and-five-other-stories-for-your-weekend/1222038400-595fc86c;2019-11-29T22:45:03+00:00;Bookmark this! The untold story of a life not lived – and five other stories for your weekend;Eliza Anyangwe
https://thecorrespondent.com/150/a-breakdown-of-europes-eur1-5bn-migration-spending-in-nigeria/19837235550-e86e62a5;2019-12-09T04:45:05+00:00;A breakdown of Europe’s €1.5bn migration spending in Nigeria;Maite Vermeulen
https://thecorrespondent.com/151/reading-time/19989608463-ce5a9886;2019-12-03T16:00:02+00:00;Reading time;Irene Caselli
https://thecorrespondent.com/152/meet-julian-brave-noisecat-the-26-year-old-shaping-us-climate-policy/20122769128-6ac4dd6a;2019-12-03T11:00:02+00:00;Meet Julian Brave NoiseCat – the 26-year-old shaping US climate policy;Eric Holthaus
https://thecorrespondent.com/153/coming-right-up-after-the-break-why-most-tv-ads-are-a-waste-of-money/20240254485-4b41de3b;2019-12-04T11:00:02+00:00;Coming right up after the break ... why most TV ads are a waste of money;Jesse Frederik
https://thecorrespondent.com/154/europe-spends-billions-stopping-migration-good-luck-figuring-out-where-the-money-actually-goes/20366228498-b2c9baad;2019-12-09T04:45:03+00:00;Europe spends billions stopping migration. Good luck figuring out where the money actually goes;Maite Vermeulen
https://thecorrespondent.com/155/what-makes-you-hopeful-about-ai/20500463060-071982dc;2019-12-04T16:00:02+00:00;What makes you hopeful about AI?;Sanne Blauw
https://thecorrespondent.com/157/what-can-twitter-learn-from-mentalhealth-twitter/20784299932-d0bb6003;2019-12-09T16:00:03+00:00;What can Twitter learn from #MentalHealth Twitter?;Tanmoy Goswami
https://thecorrespondent.com/158/callout-what-are-your-end-of-year-traditions/1295852800-01ce60db;2019-12-05T11:00:01+00:00;Callout: what are your end-of-year traditions?;Eliza Anyangwe
https://thecorrespondent.com/159/i-usually-dont-like-surprises/21048253050-b46df7cc;2019-12-06T16:00:02+00:00;I usually don’t like surprises;OluTimehin Adegbeye
https://thecorrespondent.com/160/bookmark-this-a-mesmerising-tour-of-the-worlds-oceans-and-five-other-stories-for-your-weekend/1312256000-f0027de3;2019-12-06T22:55:02+00:00;Bookmark this! A mesmerising tour of the world’s oceans – and five other stories for your weekend;Eliza Anyangwe
https://thecorrespondent.com/161/the-great-cop-out-why-the-un-climate-summit-still-matters/21314248879-f4fadb7b;2019-12-06T11:00:01+00:00;The great COP-out? Why the UN climate summit still matters;Eric Holthaus
https://thecorrespondent.com/162/leaving-crumbs-behind/21445805106-494b1c67;2019-12-10T16:00:03+00:00;Leaving crumbs behind;Irene Caselli
https://thecorrespondent.com/163/climate-journalism-needs-to-be-low-carbon-journalism/21579022157-03360e69;2019-12-12T16:00:03+00:00;Climate journalism needs to be low-carbon journalism;Eric Holthaus
https://thecorrespondent.com/164/science-shows-forgiveness-really-is-a-medicine/21710988464-8bdc8630;2019-12-10T11:00:03+00:00;Science shows forgiveness really is a medicine;Tanmoy Goswami
https://thecorrespondent.com/165/saudi-arabia-wants-us-to-think-its-liberalising-but-dont-believe-the-pr/176831852670-6f59f47f;2019-12-11T16:00:03+00:00;Saudi Arabia wants us to think it’s liberalising – but don’t believe the PR;Nesrine Malik
https://thecorrespondent.com/166/how-the-eu-created-a-crisis-in-africa-and-started-a-migration-cartel/21953207342-46c48098;2019-12-11T04:45:02+00:00;How the EU created a crisis in Africa – and started a migration cartel ;Maite Vermeulen
https://thecorrespondent.com/168/merry-christmas-to-my-library/22239663600-5d01c127;2019-12-13T16:00:03+00:00;Merry Christmas to my library;OluTimehin Adegbeye
https://thecorrespondent.com/169/press-release-how-the-eu-created-a-crisis-in-africa-and-started-a-migration-cartel/22349952053-6eefeb70;2019-12-11T04:45:04+00:00;Press release: How the EU created a crisis in Africa – and started a migration cartel;Maite Vermeulen
https://thecorrespondent.com/170/trauma-can-be-inherited-we-need-to-understand-what-were-passing-on/22504857210-6c7f000e;2019-12-12T11:38:32+00:00;Trauma can be inherited. We need to understand what we’re passing on;Irene Caselli
https://thecorrespondent.com/171/im-speaking-at-the-european-parliament-about-ai-discrimination-watch-it-online-here/22616639892-8e87a2a3;2019-12-11T17:00:02+00:00;I’m speaking at the European parliament about AI discrimination. Watch it online here;Sanne Blauw
https://thecorrespondent.com/172/the-eu-bypasses-public-tenders-in-africa-this-is-what-the-eus-financial-watchdog-has-to-say/22746696764-60a8bd44;2019-12-12T13:00:03+00:00;The EU bypasses public tenders in Africa. This is what the EU’s financial watchdog has to say;Maite Vermeulen
https://thecorrespondent.com/173/2019-was-the-year-of-protestors-they-told-us-why/22903775345-8fe3afdf;2019-12-16T11:00:03+00:00;2019 was the year of protestors. They told us why;Nabeelah Shabbir
https://thecorrespondent.com/174/i-cant-remember-a-sober-christmas-this-year-will-be-my-first/194180328078-a3926510;2019-12-14T05:00:03+00:00;I can’t remember a sober Christmas. This year will be my first;Joan Westenberg
https://thecorrespondent.com/175/bookmark-this-how-to-save-democracy-and-five-other-stories-for-your-weekend/1435280000-573c5222;2019-12-13T22:55:02+00:00;Bookmark this! How to save democracy – and five other stories for your weekend;Eliza Anyangwe
https://thecorrespondent.com/176/meet-fiza-pirani-immigrant-mental-health-champion/23299597376-1002d99c;2019-12-16T16:00:03+00:00;Meet Fiza Pirani, immigrant mental health champion;Tanmoy Goswami
